time,true,pre
172.0,265.0000097155571,550.807815015316
173.0,255.99999287724495,547.6984933614731
173.0,248.99999406933784,544.8784121274948
173.0,268.99999433755875,542.0446996092796
173.0,267.99999818205833,540.8368135094643
174.0,260.99999937415123,539.8900308012962
174.0,256.99998903274536,538.9240614175797
174.0,258.00001090765,539.3541412949562
175.0,269.99999049305916,539.338143825531
175.0,273.0000046789646,539.2267788052559
175.0,268.99999433755875,539.1339317560196
176.0,276.99998930096626,538.9491635560989
176.0,274.99999698996544,540.291099190712
176.0,273.0000046789646,541.7853965759277
176.0,263.99998784065247,542.7194738984108
177.0,265.0000097155571,544.066913485527
177.0,273.0000046789646,544.6201893091202
177.0,285.000009983778,545.2824639678001
178.0,296.99998956918716,547.0059212446213
178.0,289.99999076128006,548.3003788590431
178.0,294.99999725818634,547.5304427742958
179.0,320.0000040233135,546.249050617218
179.0,314.00000137090683,545.6279784440994
179.0,309.99999102950096,545.6073000431061
179.0,310.9999871850014,545.9488537311554
180.0,294.99999725818634,546.3949310779572
180.0,299.0000075995922,545.1142590641975
180.0,294.99999725818634,542.561505317688
181.0,292.0000087916851,540.0915166139603
181.0,276.99998930096626,539.4673066735268
181.0,266.0000058710575,540.141978085041
182.0,260.99999937415123,542.4230834841728
182.0,266.0000058710575,544.1483925580978
182.0,274.000000834465,544.6789838671684
182.0,268.99999433755875,544.7802668809891
183.0,256.99998903274536,544.4709138870239
183.0,252.0000082552433,546.0270921587944
183.0,249.99999022483826,546.685714662075
184.0,254.99999672174454,546.384180366993
184.0,256.99998903274536,546.2833088636398
184.0,261.99999552965164,547.6048232913017
185.0,263.99998784065247,550.9373893737793
185.0,263.99998784065247,551.3644858002663
185.0,262.99999168515205,552.1535056829453
185.0,280.99999964237213,552.5932560563087
186.0,334.99999779462814,552.7001459002495
186.0,338.0000119805336,553.3530072569847
186.0,330.9999874532223,554.1901224255562
187.0,328.99999514222145,554.6259634494781
187.0,305.0000102519989,555.6238763332367
187.0,287.0000022947788,556.0579684376717
188.0,280.0000034868717,555.9852339625359
188.0,272.0000085234642,556.7454995512962
188.0,262.99999168515205,557.6526743769646
188.0,259.0000070631504,557.6376028060913
189.0,246.0000056028366,556.7800149917603
189.0,228.99999380111694,553.0561538934708
189.0,231.9999951273203,544.4349067211151
190.0,234.99999645352364,540.2388888001442
190.0,234.00000029802322,539.840803861618
190.0,230.99999897181988,540.2940826416016
191.0,236.99998876452446,540.3907361626625
191.0,233.0000041425228,540.3865696191788
191.0,253.0000044107437,540.9719432592392
191.0,260.0000032186508,541.7306142449379
192.0,260.0000032186508,543.5510336756706
192.0,261.99999552965164,545.8494739532471
192.0,309.99999102950096,547.2113678455353
193.0,319.0000078678131,549.331212580204
193.0,316.99998983740807,550.2780981659889
193.0,310.9999871850014,551.4666432738304
194.0,303.99998837709427,551.9230598211288
194.0,306.0000064074993,552.4910471439362
194.0,307.99999871850014,552.5757668614388
194.0,321.00000017881393,552.4828169345856
195.0,315.99999368190765,552.464556157589
195.0,314.00000137090683,553.1120678782463
195.0,321.00000017881393,553.4999164938927
196.0,338.0000119805336,554.2026220560074
196.0,314.00000137090683,554.4404236674309
196.0,301.99999606609344,554.5767365098
197.0,298.0000114440918,555.3299035429955
197.0,312.000009059906,555.8736117482185
197.0,313.0000052154064,557.3923425674438
197.0,307.99999871850014,557.6526743769646
198.0,294.99999725818634,557.2219772338867
198.0,287.0000022947788,556.796886920929
198.0,281.99999579787254,555.6632784605026
199.0,275.99999314546585,554.5629509091377
199.0,273.0000046789646,551.9593756198883
199.0,294.99999725818634,549.4190700650215
200.0,289.99999076128006,547.3188235163689
200.0,276.99998930096626,545.2670323252678
200.0,282.99999195337296,545.3934689164162
200.0,309.99999102950096,547.2141455411911
201.0,309.99999102950096,547.8806896209717
201.0,289.99999076128006,548.9479420185089
201.0,269.99999049305916,550.2939927577972
202.0,260.99999937415123,551.1805406212807
202.0,256.99998903274536,552.5355417132378
202.0,242.99999141693115,553.5685873031616
203.0,243.99998757243156,552.8931957483292
203.0,242.99999141693115,551.5374745130539
203.0,240.00000295042992,547.7399016022682
203.0,267.99999818205833,541.4456432461739
204.0,266.0000058710575,537.5106258392334
204.0,249.99999022483826,536.0907089710236
204.0,242.99999141693115,536.2886455059052
205.0,236.99998876452446,535.8461174368858
205.0,230.99999897181988,531.8089425563812
205.0,228.99999380111694,526.0183730125427
206.0,231.9999951273203,521.7528098225594
206.0,255.99999287724495,519.2764427065849
206.0,273.0000046789646,521.0396107435226
206.0,272.0000085234642,518.5349008440971
207.0,288.99999460577965,516.5221517086029
207.0,286.0000061392784,515.060363650322
207.0,269.99999049305916,517.1933767199516
208.0,259.0000070631504,518.1360443234444
208.0,269.99999049305916,518.7561391592026
208.0,300.0000037550926,521.4438683390617
209.0,287.99999845027924,524.7825042009354
209.0,266.0000058710575,527.4681758284569
209.0,256.99998903274536,530.3419077396393
209.0,262.99999168515205,533.0353980660439
210.0,275.99999314546585,534.9510821700096
210.0,312.000009059906,536.8393493890762
210.0,299.0000075995922,538.6079185009003
211.0,294.99999725818634,539.7138528823853
211.0,276.99998930096626,542.5536351799965
211.0,269.99999049305916,544.0725717544556
212.0,269.99999049305916,546.4748669862747
212.0,265.0000097155571,548.2207001447678
212.0,265.0000097155571,550.4807156324387
212.0,266.0000058710575,552.5467039346695
213.0,260.0000032186508,554.6830090880394
213.0,254.00000056624413,556.146854698658
213.0,254.00000056624413,556.9784659147263
214.0,278.0000111758709,557.38256919384
214.0,282.99999195337296,557.788215637207
214.0,267.99999818205833,557.7049876451492
215.0,269.99999049305916,557.6915106773376
215.0,260.0000032186508,556.804705619812
215.0,260.0000032186508,557.0179194808006
215.0,262.99999168515205,557.0257896184921
216.0,266.0000058710575,556.6493089795113
216.0,273.0000046789646,556.1507126092911
216.0,262.99999168515205,555.1116486787796
217.0,256.99998903274536,554.2699040174484
217.0,251.0000120997429,553.5694617629051
217.0,245.0000094473362,552.2068991661072
218.0,247.00000175833702,551.0579105019569
218.0,246.0000056028366,550.4574652910233
218.0,242.99999141693115,549.5496217608452
218.0,283.99998810887337,550.8198002576828
219.0,315.99999368190765,550.2100446224213
219.0,360.0000045597553,549.821270108223
219.0,372.0000098645687,549.9914811253548
220.0,375.99999448657036,549.9986311197281
220.0,309.99999102950096,550.545579969883
220.0,272.0000085234642,551.3587760925293
221.0,260.0000032186508,552.2111171483994
221.0,251.0000120997429,555.0693145394325
221.0,241.99999526143074,556.1662471294403
221.0,236.99998876452446,556.7837700247765
222.0,235.99999260902405,557.58451795578
222.0,263.99998784065247,558.0848118066788
222.0,279.0000073313713,558.2508048415184
223.0,271.0000123679638,558.183831512928
223.0,259.0000070631504,559.6485515832901
223.0,249.99999022483826,559.9232862591743
224.0,249.99999022483826,560.0588789582253
224.0,251.0000120997429,559.0392588973045
224.0,246.0000056028366,558.5596434473991
224.0,300.99999991059303,559.2297368049622
225.0,373.0000060200691,560.1613965034485
225.0,334.00000163912773,561.3074017167091
225.0,312.000009059906,562.1587654352188
226.0,320.0000040233135,562.5274788141251
226.0,336.99999010562897,562.9823007583618
226.0,413.0000065565109,562.6412100195885
227.0,410.9999885261059,562.6412100195885
227.0,395.99999475479126,562.5345773696899
227.0,381.00000098347664,561.6289971470833
227.0,366.000007212162,559.9218974113464
228.0,349.99999156594276,558.2676253318787
228.0,361.99999687075615,556.998835682869
228.0,381.99999713897705,556.998835682869
229.0,401.99999740719795,558.4861888289452
229.0,395.99999475479126,559.3809154629707
229.0,379.0000086724758,559.5639347434044
230.0,367.00000336766243,559.980383336544
230.0,361.99999687075615,560.0214315056801
230.0,347.0000030994415,560.0214315056801
